"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
0.802419398120442,0.774881105219944,0,0,0.102980666269289,0.258730396111069,0.532338415557961,0.568285722357735,0.610336571181395,0,0,0,0.0651126257824219,0,0,0
0.259816296414419,0.88940535888964,0.350368901396939,0.0904385378966297,0,0.0823706691922422,0.179397353115322,0.545850170967622,0.899757343501551,0.473869058253407,0,0,0,0,0,0
0.0301016366489649,0.305369903703884,1.86629002638622,0.772948000108738,0,0,0.136459580257638,0.136316164760402,0.16364628586541,0.634468381309442,0,0,0.0666824679898112,0,0,0
0,0,0.343041294592932,1.40025875424768,0.291456418520722,0,0,0.0451313715906881,0.158744253705716,0.390317115813788,0.139239937413697,0.0939107064926506,0.0685678728422392,0,0,0
0.0248176556852095,0,0,0,0.879547622353049,0.251619861804291,0,0,0.0700472424288223,0.137316062433047,0.299232434097055,0.112772337224103,0,0,0,0
0.035756906961703,0,0,0,0.103599647259022,1.0999378179441,0.573898844623549,0.0825761582694189,0,0,0.0842048078307325,0,0,0,0,0
0.54685853496703,0.239155550147532,0,0,0,0.238634920305418,0.480596370963365,0.139797390468416,0,0,0,0.0700270688775643,0.0520003656770839,0,0,0
0.522444578526035,0.757606114069184,0.259982387357809,0.0390757266347025,0,0,0.116590605061994,0.646608973715566,0.545489520039132,0,0,0,0,0,0,0
0.180855273836288,0.42278224535837,0.640518921800927,0.326725322667004,0.193805035489995,0,0.232428754309003,0.130287104899541,0.459960284094319,0.246072977783834,0,0,0,0,0.0240381497693105,0
0.0758019037506609,0.135166045082556,0.457522808764515,0.591231029877361,0.466580073615469,0.0453347633441124,0,0.0714715420888798,0.0569703922941693,0.716813083076279,0.0665130663592948,0.0367907518705061,0,0,0,0
0.123674932402835,0.0695391346017697,0.0743679030627461,0.340920736039599,0.284911555305286,0.0603582944478714,0,0.034170265212528,0.0743782531111255,0.174128190728734,0.937647554047506,0.265383031069297,0.024264688119817,0,0.0250225955416272,0
0,0,0,0,0,0,0,0.0378396785219305,0,0,0.0712643694331032,0.688589339587361,0.403988260753495,0.0341139723178171,0,0.0287352073070718
0,0,0,0,0.0455304801767761,0,0,0,0,0,0.055057312146781,0.124198869379008,0.576048741681676,0.153034808629221,0,0
0,0,0,0.0253635633123927,0,0,0,0.122577996956308,0.129672126634857,0,0,0.0574431991671247,0.0354491529583703,0.526374824289154,0.118144885758598,0.0142476900679863
0,0,0,0,0.0209315575914338,0,0,0,0,0,0,0,0,0.0933361282496428,0.41764533192904,0.1398949525006
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307912048691803,0.278096118244759
