age,population
0-5,1464587
5-10,1570980
10-15,1602300
15-20,1712323
20-25,1861707
25-30,1650144
30-35,1531752
35-40,1653662
40-45,1531893
45-50,1589354
50-55,1559165
55-60,1563977
60-65,1420534
65-70,1159133
70-75,913551
75-80,626392
