home_change,work_change
0.984615949,0.973573687
1.171953066,0.812594995
0.970604981,0.985150173
0.953006243,1.008007307
0.977504183,1.065619452
0.99272505,1.099945556
1.014663402,1.109010972
0.914660043,0.9864813
1.110564556,0.882901399
0.996194661,1.047810988
0.974375035,1.110901198
0.920305423,1.073536829
0.901565616,1.047386147
0.857908472,1.110933667
0.980006185,1.240375158
0.975176173,1.088709655
1.195906477,0.688030086
1.066422064,0.89687815
1.035865412,0.877366725
0.981541657,0.87927417
1.013048444,0.914064142
0.875607578,1.13503854
0.98881042,0.878445016
0.887890754,1.103075115
1.5,0.665469676
0.857110769,1.074323116
0.838953745,1.093509216
0.835101796,1.149707317
0.99860603,1.001880251
1.160094416,0.819505658
1.021637197,1.086425825
0.88188219,1.03112714
0.928382274,1.061034786
0.853669089,1.065611042
0.883908748,1.086968823
0.906572115,1.323795973
1.037472454,0.92809344
0.89629828,1.004610022
0.959072305,1.011022446
0.981204977,1.029281285
1.034606908,0.949116578
1.056103026,0.925593396
1.081678143,0.923058164
1.227499195,0.748262252
1.5,0.631188046
1.5,0.6256466
1.5,0.623114025
1.5,0.721553689
1.5,0.587816169
1.5,0.713184119
1.5,0.648261598
1.5,0.50674623
1.5,0.459361481
1.5,0.482523697
1.5,0.567189118
1.5,0.482770704
1.5,0.685236066
1.5,0.745208828
1.5,0.488118133
1.5,0.478425547
1.5,0.36797095
1.5,0.364606253
